46 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
43 :: 1, 6, 6, 25, -4, 12, 42, -21, 4, -40, -27, 5, 33, 32, -35, 3, -21, -12, -44, -2, 37, 9, -20, -23, -19, 37, 14, 7, 5, -3, 
40 :: 30, -7, 0, -17, 24, 6, 17, -9, -2, -22, -10, 2, 18, 11, -11, 1, 2, -17, -7, 0, 20, 2, -4, -30, -11, 11, 6, -6, -1, 17, 
35 :: 47, -16, -15, 41, 48, 23, 43, -40, -3, -40, -46, 18, 28, 33, -37, 2, 24, -32, -47, 0, 41, 8, -9, -48, -48, 38, 19, -24, -2, 28, 
30 :: 4, -13, -12, 41, 34, -20, 44, -35, 3, -26, -15, 10, -1, 20, -34, 2, 11, -28, -29, -4, 38, 6, 1, -18, -29, 19, 19, -24, 1, 34, 
29 :: -10, 6, 24, -16, 4, -28, 4, -18, 7, -1, 2, -24, -1, -3, -6, 0, -1, 8, 3, -3, -1, 0, 6, 2, -4, -7, 12, -14, 2, 20, 
25 :: -14, 1, 37, -28, -23, -6, 12, 6, 6, -18, 20, -20, 24, 6, -7, 2, -8, 9, -10, -4, -3, 6, -14, 1, 12, 5, -2, 15, 7, -10, 
18 :: -40, 30, 49, -27, -40, -30, 34, 13, 14, -40, 32, -48, 38, 25, -11, 3, -50, 16, -31, -7, -5, 13, -30, 22, 37, 36, -36, 33, 35, -48, 
17 :: -25, 34, 3, 42, 8, -44, 48, -29, 14, -11, 13, -45, -24, -5, -32, 0, -2, 25, 38, -7, -1, 5, 20, 4, -10, -26, 18, -26, 13, 48, 
15 :: -32, 34, 26, 33, -8, -35, 41, -9, 14, -19, 22, -46, 6, -3, -27, 1, -12, 23, 0, -7, -2, 9, 0, 12, 13, 7, -10, 5, 24, 11, 
10 :: 40, -38, -17, -29, 41, -16, -48, -40, 23, 13, -15, -20, 5, 12, 26, 1, 45, 24, 16, 32, 41, 34, -30, -50, 11, 28, -1, -34, 7, -23, 
4 :: -26, 41, -34, -43, -1, -35, -49, 14, 44, 48, -35, -16, -31, 30, -33, -9, -9, -46, 41, 20, -48, -41, -19, 37, -38, 13, -10, 32, -33, -49, 
0 :: -13, 28, -18, 7, 12, -2, 0, -6, -19, 1, 48, 11, -33, -9, 44, -15, 28, -28, 47, 36, 16, 26, 17, -10, 18, -33, 40, -30, -50, -27, 
