43 :: 20, -5, 11, -28, 9, 2, 1, -3, -1, -3, -7, 1, 3, 5, -1, 0, 1, -4, -3, 0, 12, 1, -1, -4, -4, 4, 3, 0, -1, 6, 
43 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39 :: 6, -3, 29, -30, 3, 1, 1, -1, 0, -1, -3, 1, 2, 1, 0, 0, 0, -2, -2, 0, 7, 0, 0, -2, -1, 1, 1, 0, -1, 3, 
36 :: 15, -4, 16, -28, 6, 2, 1, -3, 0, -3, -6, 1, 3, 4, -1, 0, 0, -4, -3, 0, 9, 1, 0, -4, -4, 4, 2, 0, -1, 6, 
31 :: 26, -6, 9, -26, 12, 3, 9, -4, -1, -12, -8, 1, 7, 9, -2, 0, 1, -9, -4, 0, 14, 1, -2, -16, -5, 8, 5, -1, -1, 8, 
30 :: 13, -5, 16, -28, 8, 2, 4, -3, 0, -7, -5, 1, 3, 3, -1, 0, 1, -6, -2, 0, 9, 0, 0, -11, -2, 2, 2, -1, -1, 4, 
29 :: 4, -3, 29, -30, 1, 1, 1, -1, 0, 0, -2, 0, 1, 0, 0, 0, 0, -1, 0, 0, 2, 0, 0, -1, 0, 0, 0, 0, 0, 1, 
20 :: 10, -5, 12, -29, 4, 1, 1, -2, -1, -2, -5, 1, 2, 4, -1, 0, 1, -3, -2, 0, 8, 1, -1, -2, -2, 2, 1, 0, -1, 5, 
16 :: 22, -5, 10, -28, 10, 2, 1, -4, -1, -6, -8, 1, 5, 7, -1, 0, 1, -5, -4, 0, 13, 1, -1, -5, -4, 5, 4, 0, -1, 7, 
13 :: 18, -5, 28, -28, 1, 2, 6, -2, -1, -3, -4, 0, 3, 4, 0, 0, 1, -6, -2, 0, 4, 0, 0, -2, -3, 2, 1, 0, 0, 5, 
8 :: 7, 37, 28, 35, -46, 33, -42, -28, 23, -17, 36, 44, -4, -41, -3, -1, -40, 31, -24, -6, -14, 23, -44, 16, 35, 11, 8, 42, -39, 40, 
4 :: 24, 19, 35, -27, -26, 27, 2, -9, -42, 14, -32, -26, 28, -28, 34, -7, 26, -42, 48, 28, -18, 23, 24, -11, -5, -20, 9, -29, 8, -34, 
0 :: -44, 18, -27, -11, -8, -49, -48, 19, -42, 18, -32, -26, -4, 16, -16, 21, 49, 13, -10, 33, -50, -46, 19, 7, -14, 20, -13, -3, 23, -29, 
