46 :: 20, -5, 11, -28, 9, 2, 1, -3, -1, -3, -7, 1, 3, 5, -1, 0, 1, -4, -3, 0, 12, 1, -1, -4, -4, 4, 3, 0, -1, 6, 
42 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40 :: 6, -3, 29, -30, 3, 1, 1, -1, 0, -1, -3, 1, 2, 1, 0, 0, 0, -2, -2, 0, 7, 0, 0, -2, -1, 1, 1, 0, -1, 3, 
31 :: 26, -6, 9, -26, 12, 3, 9, -4, -1, -12, -8, 1, 7, 9, -2, 0, 1, -9, -4, 0, 14, 1, -2, -16, -5, 8, 5, -1, -1, 8, 
29 :: 18, -6, 24, -27, 3, 3, 1, -2, -1, -5, -4, 0, 7, 5, -6, 0, 1, -6, -1, 0, 10, 1, -1, -15, -4, 3, 4, -2, 0, 9, 
27 :: 15, 2, 8, -1, 1, 6, 16, -9, -1, -14, -14, 2, 14, 16, -19, 2, -10, -4, -15, -1, 22, 2, -9, -15, -14, 14, 8, 1, 1, 4, 
26 :: 1, 6, 6, 25, -4, 12, 42, -21, 4, -40, -27, 5, 33, 32, -35, 3, -21, -12, -44, -2, 37, 9, -20, -23, -19, 37, 14, 7, 5, -3, 
23 :: 30, -7, 0, -17, 24, 6, 17, -9, -2, -22, -10, 2, 18, 11, -11, 1, 2, -17, -7, 0, 20, 2, -4, -30, -11, 11, 6, -6, -1, 17, 
21 :: 9, 3, 3, 0, 11, 10, 29, -19, 0, -29, -25, 4, 32, 23, -25, 2, -15, -13, -26, -1, 28, 8, -19, -24, -16, 29, 10, 3, 2, 9, 
15 :: 2, -2, 24, 6, -3, 2, 7, -13, 1, -11, -12, 1, 19, 11, -11, 1, -12, -6, -24, -1, 10, 5, -8, -3, -7, 16, 6, 3, 3, -1, 
8 :: 49, -12, 24, 48, -48, 5, 32, 24, 41, -6, 39, 40, -3, 4, 32, -44, -2, -12, 37, 28, 38, -44, -6, 19, -17, 47, -49, -15, 23, -34, 
2 :: 44, 25, 23, -30, -10, 22, -5, 36, -9, -18, -3, -39, -29, 30, -30, 29, -6, -14, 15, -3, -5, 33, -41, 16, -20, -26, 39, -18, -43, 5, 
2 :: -50, -27, -3, -1, 46, -9, -47, -28, 9, 34, 34, 17, -21, 15, 35, -33, 33, 15, 39, -37, -12, -38, 31, 21, -22, 18, -28, -8, -40, -9, 
